sample_id,split,label,member_name,class_name,class_context_added,token_length,cached_length,is_truncated
ec8a7b24778712b8e43138dea9b050d88e61903e,train,0,MultifacetedAbstraction/Negative/xtext_seven-languages-xtext_xtext_seven-languages-xtext_org.xtext.guicemodules.ide.contentassist.antlr.internal310InternalGuiceModulesParser.code,unknown_class,False,289219,512,True
d607794926e276acba65f912d7fe4726c4a64368,train,1,MultifacetedAbstraction/Positive/google_closure-compiler_google_closure-compiler_com.google.javascript.jscomp7TypeCheckTest.code,unknown_class,False,176596,512,True
e4a5b0a38e13d8f4b39ff330fca72ccc36c1bd00,train,0,MultifacetedAbstraction/Negative/PGWelch_com.opendoorlogistics_PGWelch_com.opendoorlogistics_com.opendoorlogistics.codefromweb.hqx177Hqx_4x.code,unknown_class,False,94387,512,True
ca416fd1875c7c9fd2891aad24e6464f02dbc295,train,1,MultifacetedAbstraction/Positive/gid15_jpcsp_gid15_jpcsp_jpcsp.Allegrex1Instructions.code,unknown_class,False,89641,512,True
7d91d2de6fd18f4be999c2ae0f0f295cd75ef94d,test,0,MultifacetedAbstraction/Negative/google_guava_google_guava_com.google.common.cache301LocalCache.code,unknown_class,False,72392,512,True
33d040a3df13a4f59fb29a6a60e0cace628e8a6e,train,0,MultifacetedAbstraction/Negative/google_closure-compiler_google_closure-compiler_com.google.javascript.jscomp1254TypedScopeCreatorTest.code,unknown_class,False,52436,512,True
e62715abdb662d1e2dd73eb2927c58aaf4bd8c02,train,1,MultifacetedAbstraction/Positive/google_closure-compiler_google_closure-compiler_com.google.javascript.jscomp0Builder.code,unknown_class,False,51634,512,True
08a09a408e2add7ca68c0116da0b2da986789e00,train,1,MultifacetedAbstraction/Positive/magarena_magarena_magarena_magarena_magic.model.target3MagicTargetFilterFactory.code,unknown_class,False,41050,512,True
ba76005b4a9fb2037984dc729204de7fd9b4fc9a,train,1,MultifacetedAbstraction/Positive/BlueBrain_bluima_BlueBrain_bluima_test2ObjectFactory.code,BlueBrain_bluima_test,False,38480,512,True
d573f17277c1cc0f56131f07d521b23d3b0e53af,train,1,MultifacetedAbstraction/Positive/BlueBrain_bluima_BlueBrain_bluima_ch.epfl.bbp.uima.xml.archivearticle30ObjectFactory.code,unknown_class,False,38053,512,True
a6d54421784c5623f243240b8d311faed42e7968,train,1,MultifacetedAbstraction/Positive/google_closure-compiler_google_closure-compiler_com.google.javascript.jscomp5NodeUtil.code,unknown_class,False,37002,512,True
b1dc5e17b1e760d9398dc819c00f95f975637860,train,1,MultifacetedAbstraction/Positive/aparapi_aparapi_aparapi_aparapi_com.amd.aparapi.internal.instruction0InstructionSet.code,unknown_class,False,32807,512,True
356c14519586144b35b571d5636cfd1d2007b949,val,1,MultifacetedAbstraction/Positive/mozilla_j2me.js_mozilla_j2me.js_javax.microedition.lcdui8Graphics.code,unknown_class,False,31829,512,True
ed1d578632e461c01d8efab2f1b9f2e43368901b,train,0,MultifacetedAbstraction/Negative/marklogic_java-client-api_marklogic_java-client-api_com.marklogic.client.datamovement.functionaltests113WriteHostBatcherTest.code,unknown_class,False,27289,512,True
a966ceb25998f4e878205b90b4f0e2be9a81d1e2,train,1,MultifacetedAbstraction/Positive/foxinmy_weixin4j_foxinmy_weixin4j_com.foxinmy.weixin4j.model.card0Builder.code,unknown_class,False,26413,512,True
23a64c2705a3a406c27e8b08b2019dfb5c20ee34,train,1,MultifacetedAbstraction/Positive/marklogic_java-client-api_marklogic_java-client-api_com.marklogic.client.expression0PlanBuilder.code,unknown_class,False,26087,512,True
e85aa9d823220c39f130e1009be8e9ecd337e0ac,train,1,MultifacetedAbstraction/Positive/pavel4n_wowdoge.org_pavel4n_wowdoge.org_com.google.dogecoin.core1WalletTest.code,unknown_class,False,24462,512,True
32291820a30712079fd33de84f5d882a0832d46d,train,0,MultifacetedAbstraction/Negative/pietermartin_sqlg_pietermartin_sqlg_org.umlg.sqlg.test.gremlincompile332TestRepeatStepVertexOut.code,unknown_class,False,23401,512,True
bbc0b103704216546a9d67c42d4e93fa6edfcdc8,train,1,MultifacetedAbstraction/Positive/OpenHFT_Chronicle-Wire_OpenHFT_Chronicle-Wire_net.openhft.chronicle.wire0BinaryWire.code,unknown_class,False,23381,512,True
